handle;layer;type;text;x;y
F92;S-LOT-TEXT;TEXT;L04-22;32986.9;9339.7
F94;S-LOT-TEXT;TEXT;L04-23;36380.9;13062.3
F96;S-LOT-TEXT;TEXT;L04-24;36380.9;9305.7
F98;S-LOT-TEXT;TEXT;L05-25;36652.0;9387.4
F9A;S-LOT-TEXT;TEXT;L05-26;37243.2;5234.1
F9C;S-LOT-TEXT;TEXT;L05-27;36652.0;7470.7
FA0;S-L01-TEXT;TEXT;L01.1 N003;24166.6;25771.2
FA2;S-L01-TEXT;TEXT;L01.2 N011;24179.6;20747.2
FA4;S-L01-TEXT;TEXT;L01.3 N015;24213.6;19554.3
FA6;S-L01-TEXT;TEXT;L01.4 N014;19800.5;19528.2
FA8;S-L01-TEXT;TEXT;L01.5 N009;8875.1;10663.7
FAA;S-L01-TEXT;TEXT;L01.6 N012;22457.3;14604.3
FB0;S-L01-WINDOW-TEXT;TEXT;FINESTRA 1 / N003 - VERIFICA TAV5/TAV7;23026.6;26501.2
FB2;S-L01-WINDOW-TEXT;TEXT;FINESTRA 2 / N011 - VERIFICA TAV5/TAV7;23039.6;21477.2
FB4;S-L01-WINDOW-TEXT;TEXT;FINESTRA 3 / N015 - VERIFICA TAV5/TAV7;23073.6;20284.3
FB6;S-L01-WINDOW-TEXT;TEXT;FINESTRA 4 / N014 - VERIFICA TAV5/TAV7;18660.5;20258.2
FB8;S-L01-WINDOW-TEXT;TEXT;FINESTRA 5 / N009 - VERIFICA TAV5/TAV7;7735.1;11393.7
FBA;S-L01-WINDOW-TEXT;TEXT;FINESTRA 6 / N012 - VERIFICA TAV5/TAV7;21317.3;15334.3
FBD;S-PIL-ID;TEXT;N001;33234.7;12360.4
FBE;S-PIL-ID;TEXT;N002;36650.9;12383.9
FBF;S-PIL-ID;TEXT;N005;36660.7;7989.7
FC0;S-PIL-ID;TEXT;N006;33309.8;5686.1
FC1;S-PIL-ID;TEXT;N007;31925.0;5686.1
FC2;S-PIL-ID;TEXT;N003;23926.6;25801.2
FC3;S-PIL-ID;TEXT;N008;31859.7;12301.3
FC4;S-PIL-ID;TEXT;N004;31680.1;23829.0
FC5;S-PIL-ID;TEXT;N009;8635.1;10693.7
FC6;S-PIL-ID;TEXT;N010;43039.2;12766.6
FC7;S-PIL-ID;TEXT;N011;23939.6;20777.2
FC8;S-PIL-ID;TEXT;N012;22217.3;14634.3
FC9;S-PIL-ID;TEXT;N013;37761.4;7890.6
FCA;S-PIL-ID;TEXT;N015;23973.6;19584.3
FCB;S-PIL-ID;TEXT;N016;33256.9;9809.7
FCC;S-PIL-ID;TEXT;N014;19560.5;19558.2
FCD;S-PIL-ID;TEXT;N017;28888.3;19597.4
FCE;S-PIL-ID;TEXT;N028;38012.9;19780.2
FCF;S-PIL-ID;TEXT;N035;28877.8;20812.0
FD0;S-PIL-ID;TEXT;N031;43032.7;18604.7
FD1;S-PIL-ID;TEXT;N033;36650.9;13532.3
FD2;S-PIL-ID;TEXT;N039;43032.7;19793.3
FD3;S-PIL-ID;TEXT;N040;34149.2;19754.1
FD4;S-PIL-ID;TEXT;N042;36650.9;9775.7
FD5;S-PIL-ID;TEXT;N043;36922.0;9857.4
FD6;S-PIL-ID;TEXT;N044;37513.2;5704.1
FD7;S-PIL-ID;TEXT;N045;36922.0;7940.7
